text,label
아 진짜 존나 짜증나게 하네 가족련들,1
오ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ,1
뭔 개 말도안되는 개소리를,1
왜 좆같이 만들어났냐 ㅋㅋ,1
이런거에 또 회유 당할 뻔했네 ㅅㅂ,1
ㅅ 아시발 진짜 존나하기싫다,1
매크랑 뱀장어로 지랄하고,1
그새끼 퍼펫도 손절해서,1
아니 시발 나 구스덕에서 키보드 안 먹혀서 신고 못 해서 죽음,1
애미 개보지새기야 ㅋㅋㅋ,1
좆같은얘기안해줘서,1
누구나 회사 다니면 열심히 일하지 그렇다고 50억 주냐고 무슨 말도 안되는 머리기사야~~ 욕처나오네 니기미~~,1
시?!~0$3.15}벌,1
이새끼어디서많이,1
뒤지기 싫으면 지랄좀 작작합시다,1
개지ㅡ랄,1
느그애미 몸값이 저렴함 ㅋㅋ,1
잼갱 ㅈ같아서,1
야이 고애 ㅛㅐ기야 병신 그지새기야 ㅋㅋ,1
병.신.들,1
초 희귀종 존나웃기닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
발로ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ,1
이기일 저눔은 뭐가좋아서 브리핑할때마다 싱글벙글이네~ ..어이가 없네...,1
키작고 못생기고 통짜몸매에 군살 넘치는년들이 리얼돌 반대한다ㅋㅋ 내 주위에 리얼돌 반대하는년들은 하나같이 키작고 못생기고 통짜몸매에 대가리 크고 골반 좁고 군살 넘치는년들이더라,1
<@712438996361543740> <@985844883313008652> 개새끼,1
개간년아 ㅋㅋㅋㅋㅋㅋ,1
병신 회의까지하네,1
루나픽뚫 ㅅㅂ,1
ㅂㅅ겜이라그래,1
고소한다 개새끼,1
합성날 비싸게준사람 다 좃망함,1
근데 정말고맙다 개념없는년 두번다시 안봐서 혹시나하는애긴인데 돈떨어져서 복귀하지마라 영원히 은퇴해라 연예계 악,1
우린 존나 우는 부엉이요 질질짜는 범이다,1
병신맞잖아,1
씨발새끼 저새끼 저번에 qa에서,1
메좆의야짤타임12라는 고정닉으로,1
아 섹스하고 싶다,1
개 씨발새끼들,1
t1좆까고,1
뒤져라 ㅅㅂ놈아,1
버그썻ㅅ으면 꺼져ㅓ,1
이유없이 몰래 게임 내집에서 못한다고 지랄처 떨고있내,1
디스코드로 오라메요 씨발새끼야?,1
세로고침 존나함,1
나ㅣ 존나잘하네,1
병아리 새끼,1
패미라고 깝치는 멍청이들 지들이 왜 지지를 못받고 욕을 먹는지 이유를 몰라,1
으윽 롤랑 이자식이 딸딸이를 부른다,1
시간낭비 존나 오지네,1
쌔`$9끼,1
리발ㅋㅋ,1
니엄마 팔아서 연명한는 주제에,1
시1발아,1
ㄹ와 씨발,1
보직장 허락도 안맞고 떠블 보직라는 미친 샊기가 어디있음?,1
닌 좆밥이라 난 얻는 이익이 존나많은뎆 ㅏㅇ애인새깅냐?,1
돕지마씨발,1
씨/4']\>'발,1
ㅑㅇ애병신,1
일단 가좆같앗는데,1
장애인새끼들아,1
유클이 예전 유저라고 들었는데 내가 예전에 저새끼를 본적이 없음,1
i'll fuck you once and you won't shit for three months.,1
이샠기가쿼트닼ㅋㅋ,1
문재앙 돈 싸들고 북으로 달려가려 했는데 망했네.. 탁이 김치 얘기할때 알아봤어 김칫국 먹은거네...,1
# 그다음에 개자지 개보지 창녀들 다 죽여야함 ㅋㅋㅋ,1
근데너프 ㅅㅂ,1
시발 새퀴야 봇 새퀴야 욕 좀 자유롭게 쓰자 씹새퀴야,1
좀 자자 이 씨발새끼들아,1
지랄하지말라해줘,1
rㅐ씨발미드련아,1
우만지컴 개병신임,1
ㅈ같이 살아 그럼,1
알바들 존나 애쓴다,1
아윤아 좆노잼이다,1
개등신 새끼 14렙인 거 보면,1
드라군 ㅅㅂ ㅋㅋ,1
매입하니까 븅신아ㅉㅉ,1
니요 시바,1
걍존나귀여움,1
바꿀수도업는 ㅆㅂ,1
유클님 저새끼누구야,1
좆 병신들과 놀 바엔 걍 잠이나 자는 게 나을듯,1
ㅅ 시발 딱 답나왓네,1
내가뭘해 ㅅㅂ아,1
어이쿠야! 영길아! 군사쿠테타 대환영이다! 이게 나라냐? 전꽈잡범 따위가 대선후보가되고 국민들이 좌파들 노리개냐? 더듬거리지 말자! 도둑늠이 도둑늠 잡는다고 설치는 나라! 차라리 군인들이라도 봉기하는게 낫겠다! 공다의 대표다운 언행이 필요하다! 운동권 좌파 nl들의 무지함이 여실히 들어나네,1
뭔 백룸이야 ㅅㅂ,1
지금 시바서버 김갠지꺼 출석체크,1
나도 1660s시발아,1
호로미친똘추아이대가리십랏,1
ㅅㅂㅅㅂ 1대1 첨한다,1
존나얼굴내취향,1
문재앙은 치매 틀딱이 맞아,1
"계집과 사내 부부 사기단이 이제 부부 공갈단,,, 저래야 종북 좌빨답지",1
나도 ㅅㅂ아,1
슈0:\$발,1
섹.}&8스,1
타루 빙신새끼가 링크 여기 저기 뿌리고 다님,1
니엄마 얼굴 : <:emoji_14:1308463798968914031>,1
일베충:김정은과 만난 트럼프도 빨갱이다 이기야,1
솔직히 채팅 다뒤져서,1
걍 시바,1
이씨발련 ㅋㅋ,1
미              친                 놈,1
자지현우야,1
ㅈ병신같은데,1
진짜 빨갱이들 남탓은 최고다ㅋㅋ,1
미친 개지랄 지랄 이런것도,1
꼬지랄이네,1
데슬이 굿곳 따까리 잘되렴,1
느1금마,1
저새끼 헤르메스 아테네 아프로디테길래,1
대한민국 참 인물 조~~~온~~~나~~~~~리도 없다...,1
애미 뒤졌을때,1
아니잠시만 ㅅㅂ,1
아이 장애인새끼,1
저 쌔끼,1
씨벌 ㅋㅋㅋㅋㅋ,1
73따리 새끼라니요,1
아니 ㅅㅂ 내 스소ㅓㄴ,1
!재생 ㅂㅅ,1
야 내시점에서 생각을해봐 라프랑 하운이같이갔는데 내 시점에서 이머전씨했으면 내가 라프가의심스럽지 시발아,1
# 쫄아서 마이크는 못키겠고~ 채팅으로만 욕하는 개 쫄보 병신 새끼들이 참 말이 많아용 ?!,1
비핵화를 안할거라니까? 아니 이 새끼들이 알면서도 이따위로 기사쓰는건가 ㅋㅋ 비핵화의 길이 먼게 아니라 아예 없다고요 김정은은 비핵화를 절대 안한다고,1
죽이고싶은새끼와 패고싶은새끼,1
느ㅡ금마,1
이 씨발 개 좆같은 주현,1
찌질함의 끝판왕 동아일보기자 출신님 절라도 절라디언 소리 듣는게 그리 좋습디까? 이제 그만 내려놓으세요 이 답답한 60넘으신 어른님아!,1
이렇게 싸1가2지가 없어,1
등신버러지짱깨씨발장애아다들아,1
병신반,1
좆밥잼민이들이,1
외국어 좆빠지게 배운다음,1
아니씨발아니씨발아,1
ㅅㅂ 장난하나,1
이개자식아,1
내일 학교안간다 ㅅㅂㅋㅋ,1
히틀러존나닮음,1
또 뭔 지랄함?,1
소규모 개지랄맵 ㄱㄱ,1
힘내세요 한고은님! btw 아래 한남충 글 뭐냐??풉...평생 연애하나 못하고 홀애비로 살다 가라...니같은건 여자랑 결혼할 자격읍다.,1
그런애들떄문에 ㅈ같애서 패좋은데도,1
하린이 존나 웃기네,1
좆같게 쳐다보는 어자 좋아하는데 우리 예준이라,1
시;)5!.))발,1
하 진짜 3대쳐 망해라 개 사기꾼 도둑놈 ㅅㄲ,1
갈수록 ㅂㅅ이 되는 영국,1
아니개지ㅡ랄,1
실제이름말했잖아 시발색기야,1
블랙좆이 누구였지,1
저도버스받고싶어요씨발,1
야이 미천한 한남새끼얔ㅋㅋ,1
존나 빌었다던데,1
닥쳐 오세찬,1
더불어 문재앙이 죽인거야 20명이 넘게 죽었다 이 조빨들아 이무능한것들아,1
보추새끼 ㅋㅋ,1
걍 속도만 존나 졸라 빨라지잖아,1
니얼굴을왜먹고잇어시발새기야,1
마페 애미 창녀!! 애미 좆뒤진새끼라서 자료 ㅈ도없어서 우리섭자료나 쳐올리는 병신련! 오히려 홍보 더잘될듯 ! ! ♿ 장애인 답습니다 ㄷㄷ,1
그피 애미 없음?,1
그냥개병신새끼라서 ㅋㅋ,1
내가 좆고퀄로,1
안줫다고 난리칠땐 언제고 줬다니까 왜줫냐고 난리네 보수놈들은 진짜 대가리가 빈거냐 일부러 이러는 거냐,1
ㅎㅎ 국민을 진짜 개돼지로아는 놈,1
너무 어이업고 모순적임 ㅅㅂ,1
이딴나라 뜨는게 당연하지 개판인데,1
씨&$벌,1
시발료나,1
시기 다른 랩퍼들의 반대편을 바라보던 랩퍼들의 배포 그건 백프로 개뻥 뭐든 개빨어 마치 텐프로 됐어 보인 각본 짜인 대본 텐션을 up을 해 해야지 제대로 난 이 게임에서 acrobat 내 랩들은 전부 다 감으로 해 돈 벌어먹지 못해 나를 바라보는 랩퍼들은 말하더군 진짜 개 좆돼,1
캄보디아 강간충들은 돌림빵할때 74했냐?아님 다음 강간충 배려해서 배싸했냐?,1
그이외 나한테 따질만한것도 없는새끼가,1
"민노총이 먹는 순간 이색,휘들은 민노총 회원들에게 무료음료쿠폰및 리워드 2배적립 ㅋㅋ 백퍼 요구함 , 레디백 같은것도 민노총은 자동예약 ㅋ",1
내가안함 ㅂㅅ아,1
남북통일은 개뿔... 동서로도 가르자.. ㅅㅂ..,1
ㅅㅂ이새끼고저새끼고,1
